student_id,branch,track,gender,age,study_hours_week,commute_minutes,sleep_hours,projects_submitted,satisfaction_1to5,has_laptop,transport,pets_at_home,favorite_sport,final_score
ITI-1031,cairo,data science,m,21,16.5,34.1,5.5,2,3,yes,car,0.0,swimming,79.3
ITI-1117,assiut,data science,f,29,25.1,5.0,6.6,3,4,yes,metro,1.0,football,91.7
ITI-1080,cairo,data science,m,25,14.1,73.2,7.7,0,4,yes,bus,0.0,,79.3
ITI-1128,cairo,web development,f,25,5.0,13.7,6.3,2,4,yes,metro,1.0,,90.6
ITI-1197,menoufia,web development,m,25,19.9,17.2,6.9,3,3,no,car,0.0,,86.8
ITI-1138,cairo,ui/ux,m,22,8.5,29.6,5.2,4,2,yes,microbus,1.0,running,59.1
ITI-1210,cairo,data science,m,21,20.4,56.1,6.2,3,5,yes,bus,0.0,football,92.5
ITI-1046,cairo,data science,f,23,14.0,51.7,7.4,3,3,yes,bus,3.0,football,72.6
ITI-1159,assiut,data science,m,20,17.6,21.8,6.1,5,4,yes,walk,1.0,swimming,88.6
ITI-1248,alexandria,data science,m,22,18.7,15.0,7.3,4,4,no,microbus,0.0,basketball,84.9
ITI-1184,mansoura,web development,f,23,12.2,58.2,7.3,7,3,yes,microbus,2.0,,71.9
ITI-1042,cairo,data science,m,27,21.9,22.8,6.7,6,5,yes,bus,0.0,basketball,87.7
ITI-1228,alexandria,web development,f,20,16.52672064777328,15.7,6.1,2,5,yes,car,0.0,football,55.6
ITI-1083,cairo,data science,m,23,12.3,39.2,6.3,5,5,yes,bus,0.0,running,78.6
ITI-1166,alexandria,web development,m,26,13.1,63.8,7.9,1,5,yes,bus,0.0,,74.3
ITI-1195,mansoura,ui/ux,f,25,14.7,13.6,6.9,4,3,yes,bus,0.0,,77.2
ITI-1227,alexandria,web development,m,22,16.6,59.1,7.5,2,3,yes,bus,0.0,basketball,66.8
ITI-1147,cairo,data science,f,20,18.6,44.3,7.0,6,2,yes,metro,0.0,football,83.7
ITI-1105,alexandria,web development,f,25,25.9,22.4,7.1,4,3,yes,bus,0.0,running,87.4
ITI-1061,assiut,data science,m,23,24.3,5.0,6.0,5,5,no,metro,1.0,football,91.6
ITI-1222,cairo,data science,m,21,21.2,30.3,7.2,6,5,yes,walk,0.0,football,90.0
ITI-1109,menoufia,data science,m,23,9.5,43.9,6.6,3,5,yes,microbus,1.0,basketball,77.0
ITI-1047,cairo,data science,f,22,6.4,17.1,7.0,4,3,yes,metro,0.0,football,66.9
ITI-1043,cairo,ui/ux,f,24,13.7,111.7,6.9,1,3,yes,bus,2.0,,69.4
ITI-1186,cairo,embedded systems,m,21,18.3,66.4,8.7,4,3,yes,bus,0.0,,85.7
ITI-1010,menoufia,data science,f,24,25.7,10.8,6.1,3,4,yes,walk,2.0,,80.3
ITI-1023,menoufia,web development,m,24,21.5,8.4,7.0,7,5,yes,bus,1.0,,91.7
ITI-1200,alexandria,web development,m,23,16.52672064777328,35.2,6.6,3,3,yes,walk,1.0,football,75.3
ITI-1110,mansoura,web development,f,20,9.3,31.0,6.7,1,4,no,car,0.0,running,74.6
ITI-1025,mansoura,data science,m,20,17.7,43.8,6.8,7,4,yes,walk,0.0,swimming,77.2
ITI-1114,mansoura,data science,f,29,18.8,16.2,5.7,0,3,no,metro,1.0,running,76.6
ITI-1069,cairo,ui/ux,m,24,16.5,83.0,8.1,2,4,yes,metro,0.0,,90.0
ITI-1225,mansoura,data science,m,25,17.9,12.2,6.3,3,4,yes,bus,0.0,swimming,84.2
